시키는거 다 할게!| challenge
살면서 가장 쪽팔렸던 경험?| challenge
솔직히 애인 있을 때 다른 사람에게 흔들린 적 있다?| challenge
아무에게도 말하지 못한 비밀은?| challenge
남사친/여사친이랑 어디까지 갈 수 있다?| challenge
솔직히 애인과 잘 때 다른 사람 생각한 적 있다?| challenge
나는 이런곳에서까지 해봤다!🤯| challenge
아주 사소한 물건이라도 도둑질해본 적 있다/없다?| challenge
나만의 성적 판타지는?| challenge
가장 좋은 관계 타이밍 (아침,점심,저녁)| challenge
🔞가장 아찔했던 순간은🔞?| challenge
🍑가장 자신있는 신체부위는🍆?| challenge
나만의 시그널은?❤️‍🔥| challenge
누군가를 죽여버리고 싶다고 생각한 적이 있다?😡| challenge
하루아침에 성별이 바뀌었다면 제일 먼저 나는…| challenge
아무거나 물어봐!| normal
평소에 나한테 못 한 말은?| normal
내 첫인상은?| normal
10년 뒤로 돌아간다면?| normal
나랑 했던 것중에 가장 기억에 남는 건?| normal
내 장점 3가지!| normal
내 단점 3가지!| normal
타임머신이 있다면 언제로 가고싶어?| normal
다른 사람으로 살 수 있다면 누구로 살아보고싶어?| normal
내 성격은 한 마디로?| normal
오늘 하루 가장 인상적인 순간은?| normal
살면서 가장 무서웠던 경험은..?| normal
갖고 싶은 초능력은?| normal
나한테 서운했던 일이나, 화난 일 다 말해줘| normal
주변 사람들 중에 손절하고 싶은사람이 있다? 있다면 어떤 유형?| normal
